SubID GraphID StartID EndID Path PathLength pCrossNo pAngMean pMinAng pContinu pGeode pGeode1 Response Time Effort YN
02 43 11 2 11-12-8-2 3 0 90.0 90.0 82.491 64.98 241.95695630040757 3 2455 2 1
02 36 26 1 26-25-30-39-10-1 5 17 57.816 31.468 254.078 153.309 473.5337903011444 6 37009 9 0
02 11 21 0 21-9-25-37-0 4 0 90.0 90.0 108.519 120.112 211.66209343430745 6 9772 6 0
02 35 7 0 7-8-23-0 3 0 90.0 90.0 76.32 65.308 148.21426566299712 4 7270 4 0
02 66 17 0 17-9-8-34-0 4 8 65.146 21.603 183.304 106.683 171.57781788758913 6 6911 5 0
02 56 3 0 3-6-32-9-21-0 5 6 67.489 45.433 186.716 178.45 547.6053077636594 7 15109 4 0
02 17 45 1 45-6-36-28-37-1 5 0 90.0 90.0 135.0 144.684 853.855453537231 4 11332 5 0
02 89 39 3 39-2-1-8-3 4 0 90.0 90.0 138.622 83.759 106.4733502171718 4 3590 3 1
02 70 7 3 7-17-35-29-3 4 8 65.351 36.694 167.177 79.911 130.8516307796273 4 6317 3 1
02 26 11 0 11-12-34-0 3 6 57.756 31.038 68.063 48.9 84.01538713243542 3 5936 4 1
02 30 11 0 11-13-43-0 3 10 57.07 9.852 47.876 36.412 90.57082631500184 4 8844 3 0
02 57 33 1 33-40-2-1 3 8 61.341 40.173 124.88 99.196 75.29666636199332 3 4844 3 1
02 41 8 0 8-9-1-0 3 3 75.842 63.207 65.829 38.063 102.66181480751116 3 2665 3 1
02 19 38 0 38-35-10-2-12-0 5 0 90.0 90.0 73.74 36.091 83.25898004948097 7 10244 4 0
02 83 16 1 16-4-8-2-18-1 5 0 90.0 90.0 210.991 162.128 162.57197620388496 6 19535 3 0
02 10 26 9 26-21-36-14-16-9 5 0 90.0 90.0 0.0 0.0 1.5871177314501716E-6 6 18553 5 0
02 98 3 6 3-2-8-6 3 2 70.028 52.319 17.89 14.293 41.02062308084935 2 3043 2 0
02 16 13 2 13-10-0-19-12-2 5 0 90.0 90.0 128.267 77.748 116.69760730691033 5 5721 4 1
02 58 6 1 6-7-33-2-1 4 3 80.03 66.297 161.659 79.562 85.98353166821235 4 10472 3 1
02 97 45 1 45-6-36-28-37-1 5 5 64.355 62.848 170.952 181.465 237.94003027713 5 21639 6 1
02 72 31 0 31-28-18-0 3 4 69.605 55.082 109.475 75.99 90.53029557311194 3 6428 4 1
02 88 34 1 34-27-10-3-5-15-1 6 3 80.415 78.153 141.6 87.937 224.32092521899412 6 11489 4 1
02 29 23 1 23-24-37-17-13-1 5 8 52.4 12.396 200.726 219.399 442.0822167989495 6 29777 4 0
02 2 15 1 15-22-2-1 3 0 90.0 90.0 0.0 0.0 9.5367431640625E-7 3 3837 4 1
02 59 26 0 26-12-20-2-15-0 5 1 66.677 66.677 132.957 129.956 387.50215264717735 5 5567 3 1
02 51 26 1 26-32-24-1 3 4 78.125 59.164 97.916 63.618 87.41657576064384 5 13726 6 0
02 48 32 3 32-7-4-3 3 6 61.638 23.023 85.753 59.397 140.95880328611605 2 6683 4 0
02 91 21 0 21-9-25-37-0 4 2 79.768 77.523 141.061 82.311 178.0316753473806 4 4599 4 1
02 31 19 1 19-16-35-39-1 4 4 65.364 48.792 166.434 128.661 162.55660667012768 4 21789 7 1
02 95 9 0 9-29-38-0 3 1 71.54 71.54 100.66 106.71 123.27595635966749 3 6257 3 1
02 4 12 0 12-2-13-8-0 4 0 90.0 90.0 80.149 154.691 338.1304862270034 4 20019 7 1
02 86 14 0 14-5-2-8-17-0 5 1 77.017 77.017 136.978 99.65 260.8948170533555 5 5803 7 1
02 22 1 3 1-2-8-3 3 3 72.675 62.616 36.814 27.9 61.74744927537268 3 2561 4 1
02 20 4 2 4-28-29-8-2 4 6 63.253 49.187 131.309 128.995 349.6107893121696 4 14479 6 1
02 25 34 5 34-38-40-5 3 9 57.275 19.674 134.858 79.867 99.46728349202644 3 3739 3 1
02 75 13 8 13-26-12-25-11-8 5 3 55.322 49.406 132.262 88.622 220.5585241363084 5 8342 4 1
02 1 8 0 8-26-14-18-19-12-0 6 0 90.0 90.0 161.565 148.096 519.3169648311973 6 9196 7 1
02 63 37 0 37-18-39-27-32-0 5 0 90.0 90.0 156.185 101.113 145.49082197400276 5 6625 2 1
02 38 18 5 18-32-6-5 3 9 50.057 9.999 123.752 86.152 93.60291628691289 3 5720 4 1
02 87 18 0 18-1-15-25-32-0 5 6 54.677 22.612 129.297 147.568 360.77407502578603 4 6460 6 0
02 61 28 0 28-8-2-1-0 4 10 63.022 36.393 88.697 82.43 167.11927636893532 4 4858 5 1
02 12 29 0 29-7-17-1-0 4 0 90.0 90.0 70.115 44.169 380.7242201662463 5 8631 5 0
02 60 44 1 44-34-3-1 3 8 65.408 36.606 82.852 65.545 85.23876911333987 4 5991 4 0
02 81 8 0 8-26-14-18-19-12-0 6 2 75.502 65.978 159.659 279.8 1027.9349972288594 7 15156 5 0
02 80 14 0 14-2-7-0 3 2 84.408 84.176 94.607 55.729 123.40634906648017 5 6225 5 0
02 13 24 1 24-4-0-5-1 4 0 90.0 90.0 124.473 67.97 357.7159735354003 6 11905 5 0
02 52 21 0 21-37-19-7-1-0 5 2 67.932 67.932 141.396 90.011 161.85335100718015 4 4526 6 0
02 64 32 0 32-31-9-27-6-0 5 9 70.388 52.717 153.882 94.584 150.88046828403364 5 12134 5 1
02 49 6 2 6-7-4-3-2 4 5 67.705 49.776 115.309 106.79 250.27650891412944 3 2773 2 0
02 53 39 0 39-18-27-1-0 4 7 77.204 70.815 185.768 124.361 189.6062070439791 4 12015 4 1
02 46 29 0 29-27-18-7-1-0 5 7 72.035 45.497 174.916 137.088 236.10692407721808 5 15767 6 1
02 78 22 0 22-26-11-10-9-8-0 6 10 57.658 37.084 325.682 179.265 508.2082039534088 5 26741 9 0
02 5 3 0 3-16-21-4-0 4 0 90.0 90.0 90.0 60.945 47.70092790687894 4 9528 6 1
02 18 3 6 3-2-8-6 3 0 90.0 90.0 48.045 42.055 448.8013181842942 3 7127 4 1
02 7 18 0 18-1-15-25-32-0 5 0 90.0 90.0 219.806 164.58 261.97168099757334 6 20707 7 0
02 8 34 1 34-27-10-3-5-15-1 6 0 90.0 90.0 90.0 93.844 58.99222869975763 6 10233 4 1
02 23 17 4 17-16-13-4 3 3 47.889 25.858 111.15 45.181 122.54213339570391 3 4045 2 1
02 14 34 0 34-17-13-2-3-0 5 0 90.0 90.0 5.725 11.855 307.5341506279223 5 8406 4 1
02 42 6 0 6-7-37-26-1-0 5 2 51.604 43.118 268.822 162.367 245.66222520334819 5 17777 7 1
02 92 29 0 29-7-17-1-0 4 1 77.822 77.822 134.33 136.711 388.30295018437766 4 9540 4 1
